Time (t),f1_t,f2_t,f3_t,f4_t,f5_t,f6_t,f7_t,f8_t,f9_t,f10_t,f11_t,f12_t,f13_t,f14_t,f15_t,f16_t,f17_t,f18_t,f19_t,f20_t,f21_t,f22_t,f23_t,f24_t,f25_t,f26_t,f27_t,f28_t,f29_t,f30_t,Output,,,,,,
15,60,60,60,60,60,60,60,60,60,60,60,60.1,60.06,60,60,60,60,60,60,60,60,60,60,60,60.002,60.002,60.001,60.001,60.001,59.999,Normal,,,,,,
16,60,60,60,60,60,60,60,60,60,60,60,60.11,60.04,60,60,60,60,60,60,60,60,60,60,60,59.999,59.999,59.999,59.999,59.999,59.999,Normal,,,,,,
17,60,60,60,60,60,60,60,60,60,60,60,60.1,60.01,60,60,60,60,60,60,60,60,60,60,60,59.999,59.999,59.999,59.999,59.999,59.999,Normal,,,,,,
18,60,60,60,60,60,60,60,60,60,60,60,60.14,60.02,60,60,60,60,60,60,60,60,60,60,60,59.999,59.999,59.999,59.999,59.999,59.999,Normal,,,,,,
19,60,60,60,60,60,60,60,60,60,60,60,60.08,60.06,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,59.999,Normal,,,,,,
20,60,60,60,60,60,60,60,60,60,60,60,60.05,60.02,60,60,60,60,60,60,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,Normal,,,,,,
21,60,60,60,60,60,60,60,60,60,60,60,60.04,60.12,60,60,60,60,60,60,60.002,60.002,60.002,60.002,60.002,60.002,60.002,59.999,59.999,59.999,59.999,Normal,,,,,,
22,60,60,60,60,60,60,60,60,60,60,60,60.13,60.12,60,60,60,60,60,60,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,Normal,,,,,,
23,60,60,60,60,60,60,60,60,60,60,60,60.05,60.03,60,60,60,60,60,60,60,60,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,Normal,,,,,,
24,60,60,60,60,60,60,60,60,60,60,60,60.11,60.01,60,60,60,60,60,60,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,Normal,,,,,,
25,60,60,60,60,60,60,60,60,60,60,60,60.07,60.02,60,60,60,60,60,60,59.999,59.999,59.999,60,60,60,60,59.999,59.999,59.999,59.999,Normal,,,,,,
26,60,60,60,60,60,60,60,60,60,60,60,60.08,60.13,60,60,60,60,60,60,60,60,60,60,60,60,60,59.999,59.999,59.999,59.999,Normal,,,,,,
27,60,60,60,60,60,60,60,60,60,60,60,60,60.06,60,60,60,60,60,60,60,60,60,60,60,60,60,59.999,59.999,59.999,59.999,Normal,,,,,,
28,60,60,60,60,60,60,60,60,60,60,60,60.13,60.01,60,60,60,60,60,60,60,60,60,60,60,60,60,59.999,59.999,59.999,59.999,Normal,,,,,,
29,60,60,60,60,60,60,60,60,60,60,60,60.11,60.13,60,60,60,60,60,60,60,60,60,60,60,60,60,59.999,59.999,59.999,59.999,Normal,,,,,,
30,60,60,60,60,60,60,60,60,60,60,60,60.01,60.05,60,60,60,60,60,60,60,60,60,60,60,60,60,59.999,59.999,59.999,59.999,Normal,,,,,,
31,60,60,60,60,60,60,60,60,60,60,60,60.09,60.12,60,60,60,60,60,60,60,60,60,60,60,60,60,59.999,59.999,59.999,59.999,Normal,,,,,,
32,60,60,60,60,60,60,60,60,60,60,60,60.05,60.02,60,60,60,60,60,60,60,60,60,60,60,60,60,59.999,59.999,59.999,59.999,Normal,,,,,,
33,60,60,60,60,60,60,60,60,60,60,60,60.03,60.07,60,60,60,60,60,60,60,60,60,60,60,60,60,59.999,59.999,59.999,59.999,Normal,,,,,,
34,60,60,60,60,60,60,60,60,60,60,60,60.14,60.05,60,60,60,60,60,60,60,60,60,60,60,60,60,59.999,59.999,59.999,59.999,Normal,,,,,,
35,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,59.999,59.999,59.999,59.999,Normal,,,,,,
36,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,Normal,,,,,,
37,60.001,60.001,60.001,60.001,60.001,60.001,60.001,60.001,60.001,60.001,60.001,60.001,60,60,59.999,59.999,59.999,59.998,59.998,59.998,59.998,59.998,59.998,59.998,59.998,59.998,59.998,59.998,59.999,59.999,Normal,,,,,,
38,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,60,60,60,60,60,60,60,60,60,60,60,60,60,60,59.999,59.999,Normal,,,,,,
39,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,Normal,,,,,,
40,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,Normal,,,,,,
41,59.999,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,Normal,,,,,,
42,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,Normal,,,,,,
43,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,Normal,,,,,,
44,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,Normal,,,,,,
45,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,Normal,,,,,,
46,60,60,60,60,60,60,60,60,60,60,60,60,60,60,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,Normal,,,,,,
47,59.999,59.999,59.999,60,59.999,59.999,59.999,59.999,59.999,59.999,59.997,59.996,59.998,59.999,59.999,60.001,60.001,60.002,60.002,60.002,60.002,60.002,60.002,60.002,60.002,60.002,60.002,60.001,60.001,60.001,Normal,,,,,,
48,60.001,60,60,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,60,60,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,Normal,,,,,,
49,59.999,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,Normal,,,,,,
50,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,Normal,,,,,,
51,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,59.999,60,60,60,60,60,60,60,60,60,Normal,,,,,,
52,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,Normal,,,,,,
53,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,Normal,,,,,,
54,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,Normal,,,,,,
55,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,Normal,,,,,,
56,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,Normal,,,,,,
57,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,Normal,,,,,,
58,60,60,60,60,60,60,60,59.999,59.999,59.999,59.999,59.999,59.998,59.998,59.998,59.998,59.998,59.998,59.998,59.998,59.998,59.998,59.998,59.998,59.998,59.999,59.999,59.999,59.999,59.999,Normal,,,,,,
59,60.08,60.08,60.09,60.1,60.14,60.06,60.12,60.07,60.13,60.07,60.04,60.06,60.05,60.03,60.08,60.03,60.15,60.11,60.09,60.14,60.02,60.02,60.01,60.12,60.09,60.07,60.1,60.06,60.14,60.07,Normal,,,,,,
60,60.08,60.02,60.03,60.06,60.07,60.01,60.1,60.12,60.07,60,60.04,60.08,60.14,60,60.09,60.09,60.11,60.06,60.11,60.05,60.1,60.11,60.15,60.08,60.06,60.02,60.06,60.03,60.05,60.03,Normal,,,,,,
61,60.03,60.02,60.12,60.06,60.1,60.1,60.11,60.09,60.01,60.1,60.15,60.14,60.13,60.01,60.11,60.08,60.09,60.14,60.01,60.07,60.07,60.04,60.14,60.02,60.03,60,60.05,60.02,60.1,60.01,Normal,,,,,,
62,60.12,60.06,60.09,60.03,60.05,60.1,60.04,60,60.06,60.09,60.04,60.15,60.05,60.08,60,60.09,60.12,60.11,60.11,60.08,60.12,60.04,60.1,60.04,60.01,60.02,60.12,60.11,60,60.1,Normal,,,,,,
63,60.07,60,60.09,60.05,60.14,60.14,60.14,60.1,60.07,60.12,60.04,60.09,60.01,60.01,60,60.14,60.12,60.12,60.09,60.12,60.07,60.09,60.05,60.1,60.04,60,60.14,60.02,60.08,60.11,Normal,,,,,,
64,60.03,60,60.14,60.1,60.05,60.04,60.01,60.12,60.07,60.02,60.08,60.11,60,60.14,60.11,60.03,60,60.09,60.05,60.05,60.06,60.09,60.15,60.07,60.15,60.1,60.09,60.15,60.1,60.04,Normal,,,,,,
65,60.03,60.01,60.11,60.11,60.11,60.11,60.07,60.11,60.04,60.13,60.02,60.14,60,60.01,60.09,60.11,60.03,60.01,60.04,60.07,60.15,60.03,60.05,60.13,60.07,60.13,60,60.01,60.02,60.08,Normal,,,,,,
66,60,60.08,60.04,60,60.12,60.09,60.07,60.1,60.15,60.09,60.02,60.11,60.13,60.04,60.06,60.13,60.13,60.12,60.14,60.1,60.08,60.04,60.06,60.09,60.1,60.11,60.09,60.12,60.03,60.14,Normal,,,,,,
67,60.06,60.11,60.03,60.02,60.03,60.03,60.03,60.01,60.05,60.08,60.1,60.12,60.05,60.02,60.06,60.02,60.08,60,60.13,60.05,60.04,60.05,60.05,60.14,60.06,60.07,60.03,60,60.06,60.07,Normal,,,,,,
68,60.09,60.08,60.01,60.12,60.08,60.11,60.01,60.1,60.15,60.02,60.12,60.09,60.05,60.15,60.01,60.1,60.02,60.08,60.04,60.12,60.04,60.01,60.01,60.01,60.02,60.08,60.14,60.13,60.04,60.01,Normal,,,,,,
69,60.06,60.06,60.13,60.08,60.01,60.05,60.14,60.11,60.13,60.14,60.14,60.07,60.02,60.08,60.1,60.03,60.11,60.13,60.01,60.01,60.14,60.06,60.02,60.15,60.06,60.11,60.12,60.01,60.09,60.14,Normal,,,,,,
70,60.08,60.04,60.02,60.08,60.01,60.1,60.04,60.06,60.03,60,60.12,60,60.09,60.04,60.01,60.1,60.15,60.06,60.1,60,60.01,60.02,60,60.13,60.07,60.06,60.12,60.01,60.08,60.14,Normal,,,,,,signature lasts for only 60 seconds (less that 120 s)
71,60.12,60.01,60.14,60.13,60.11,60.03,60.07,60.11,60.07,60.03,60.06,60.05,60.05,60.07,60.02,60.05,60.01,60.05,60.11,60.03,60.15,60.06,60.15,60.11,60.12,60.07,60.1,60.09,60.02,60.08,Normal,,,,,,
72,60.06,60.1,60.09,60.09,60.07,60.14,60.02,60.01,60.09,60.07,60.14,60.06,60.05,60.09,60.11,60.05,60.11,60.1,60.08,60.01,60.14,60.07,60.09,60.1,60.09,60.1,60.04,60.04,60.11,60.02,Normal,,,,,,
73,60.1,60.15,60.02,60.12,60,60.07,60.04,60.13,60.03,60.14,60.04,60.04,60.11,60.06,60.06,60.11,60.11,60.01,60.04,60.03,60.13,60.02,60,60.11,60.14,60,60.07,60,60.09,60.13,Normal,,,,,,
74,60.13,60.03,60.01,60,60.07,60.05,60.01,60.06,60.07,60.03,60.14,60.01,60.04,60.13,60,60.11,60.01,60.13,60.03,60.07,60.13,60.12,60.07,60.01,60.07,60.01,60.15,60.07,60.02,60.06,Normal,,,,,,
75,60.06,60.06,60.13,60.1,60.07,60.04,60.03,60.12,60.05,60.03,60.06,60.04,60.1,60.1,60.11,60.15,60.09,60.08,60.01,60.02,60.15,60.1,60.15,60.11,60.08,60.05,60.03,60.14,60.09,60.15,Normal,,,,,,
76,60.04,60.11,60.04,60.14,60.01,60.09,60.1,60.12,60.07,60.09,60.01,60.03,60.04,60.09,60.01,60.01,60.14,60.14,60.11,60.15,60.11,60.15,60,60.11,60.01,60.13,60.06,60.09,60.03,60.09,Normal,,,,,,
77,60.07,60.03,60.03,60.03,60.07,60.07,60.08,60.1,60.04,60.15,60.06,60,60.13,60.09,60.03,60.12,60,60.08,60.11,60.1,60.05,60.11,60,60,60.04,60,60.04,60.01,60.01,60.1,Normal,,,,,,
78,60,60.11,60.08,60.01,60.11,60.01,60.08,60.03,60.1,60.08,60.05,60,60.09,60.03,60.02,60.02,60.06,60.03,60.13,60.15,60.03,60.02,60.1,60.1,60.09,60.1,60.07,60.1,60.08,60.02,Normal,,,,,,
79,60.09,60.05,60.09,60.1,60.04,60.15,60.07,60.11,60.07,60.05,60.09,60.15,60.1,60.15,60.15,60.07,60.01,60.07,60.08,60.03,60.04,60.02,60.01,60.13,60.1,60.04,60.07,60,60.03,60.14,Normal,,,,,,
80,60,60.1,60.13,60.14,60.14,60.05,60.11,60.05,60,60.1,60.1,60.14,60.02,60.05,60.06,60.07,60.12,60.08,60.11,60.08,60.11,60.06,60.11,60.12,60.02,60.01,60.02,60.11,60,60.15,Normal,,,,,,
81,60.12,60.09,60.09,60.02,60.1,60.08,60.01,60.11,60.1,60.12,60.09,60.11,60.08,60.12,60.11,60.07,60.11,60.01,60.03,60.01,60.02,60.11,60.11,60.03,60.11,60.1,60.11,60.05,60.12,60.04,Normal,,,,,,
82,60.14,60.02,60.06,60.04,60.13,60.14,60.04,60.09,60.14,60.08,60.05,60.13,60.08,60.14,60.11,60.07,60,60.13,60.01,60.03,60.13,60.13,60,60.07,60,60.09,60.15,60.08,60.04,60.11,Normal,,,,,,
83,60.13,60.08,60.12,60.14,60.04,60.11,60.09,60.05,60.03,60.14,60.15,60,60.08,60.12,60.03,60.12,60.14,60,60.04,60,60.11,60.11,60.04,60.08,60.01,60.02,60.1,60.01,60.11,60.09,Normal,,,,,,
84,60.04,60.07,60.12,60.12,60.02,60.04,60.01,60.09,60.05,60,60.05,60.11,60.02,60.08,60.1,60.09,60.14,60.12,60.09,60.15,60.12,60.13,60.14,60,60.06,60,60.09,60.09,60.05,60,Normal,,,,,,
85,60,60.13,60.1,60.06,60.12,60.09,60.04,60.02,60.12,60.14,60.01,60.11,60.08,60.15,60.13,60.03,60.05,60.04,60.13,60.07,60,60.08,60.07,60.04,60,60.09,60.15,60.02,60.11,60.01,Normal,,,,,,
86,60.05,60.11,60,60.04,60.13,60.06,60.07,60.01,60.01,60.14,60,60.05,60.06,60.01,60.12,60.14,60,60.06,60.05,60.15,60.03,60,60.1,60.11,60.02,60,60.08,60.07,60.15,60.01,Normal,,,,,,
87,60.07,60.01,60.15,60.09,60.09,60.11,60.12,60.04,60.01,60.05,60.09,60.05,60.11,60.1,60.12,60,60.07,60.07,60.04,60.15,60.02,60.14,60.01,60.08,60.04,60.07,60.14,60.04,60,60.03,Normal,,,,,,
88,60,60.05,60,60,60.15,60,60.1,60.01,60.04,60,60.08,60.03,60.06,60.12,60.1,60.02,60.11,60.07,60.09,60.13,60.06,60.08,60.09,60.07,60.14,60.13,60.1,60.1,60.04,60.1,Normal,,,,,,
89,60.11,60.15,60,60.03,60,60.07,60.15,60.1,60,60.04,60.14,60.13,60,60.11,60.03,60.15,60.14,60.13,60.02,60.03,60.01,60.15,60.08,60.03,60.06,60.03,60.01,60,60.05,60.07,Normal,,,,,,
90,60.04,60.07,60.11,60.06,60.11,60.03,60.14,60.15,60.09,60.01,60.07,60,60,60.14,60.11,60.14,60.13,60.07,60.02,60.04,60.1,60.07,60.06,60.05,60.04,60.06,60.01,60.02,60.11,60,Normal,,,,,,
91,60.12,60.08,60.09,60.05,60.11,60.03,60.1,60.14,60.1,60.04,60,60.13,60.15,60.06,60.14,60.12,60.12,60.12,60.14,60.04,60.04,60.1,60.05,60.02,60.13,60.01,60.04,60.08,60.07,60.05,Normal,,,,,,
92,60.09,60.07,60.13,60.1,60.08,60.15,60.02,60.12,60.06,60.05,60.1,60,60.08,60.05,60.07,60.03,60.11,60,60.02,60.05,60.09,60.09,60.01,60.05,60.05,60,60.06,60.02,60.03,60.08,Normal,,,,,,
93,60.11,60.06,60.04,60.08,60.01,60.06,60.04,60.08,60.03,60.13,60.01,60.12,60.04,60.12,60.04,60.11,60.02,60.04,60.12,60.07,60.01,60.09,60.1,60.13,60.06,60.05,60.11,60.15,60.15,60.11,Normal,,,,,,
94,60.05,60.03,60.12,60.12,60.11,60.03,60.01,60.1,60.09,60.12,60.02,60,60.1,60.13,60.06,60.05,60.15,60.11,60.04,60.11,60.03,60.14,60.09,60.04,60.15,60.14,60.08,60.11,60.06,60.05,Normal,,,,,,
95,60.02,60.08,60.08,60.03,60.06,60.12,60.1,60.01,60.01,60.08,60.07,60.03,60,60.13,60.13,60.06,60.03,60.05,60.06,60.05,60.05,60.06,60.04,60.09,60.08,60.13,60.14,60.14,60.03,60.15,Normal,,,,,,
96,60.12,60.1,60.07,60.14,60.06,60.11,60.15,60.01,60.01,60.01,60.11,60.01,60.06,60.03,60.01,60.05,60.09,60.13,60.03,60.02,60.09,60.1,60.12,60,60.12,60.08,60.02,60.13,60.13,60.07,Normal,,,,,,
97,60.13,60.06,60.13,60.11,60.13,60.07,60.02,60.09,60.15,60.01,60.03,60.12,60.12,60.05,60.06,60.14,60.01,60.07,60.01,60.08,60.14,60.07,60.11,60,60.08,60,60.06,60,60.09,60.13,Normal,,,,,,
98,60.08,60.12,60.04,60.15,60.08,60.1,60.09,60.13,60.01,60.11,60.15,60.13,60.05,60.05,60,60.13,60.12,60.12,60.15,60.15,60.09,60.09,60.05,60,60.05,60.09,60.09,60.06,60.01,60.15,Normal,,,,,,
99,60.05,60.04,60.15,60.07,60.15,60,60.13,60.08,60.13,60.15,60.11,60.03,60.15,60.08,60.1,60.08,60,60.12,60.07,60.11,60.03,60.1,60.04,60.05,60.13,60.06,60.13,60.13,60.15,60.15,Normal,,,,,,
100,60.05,60.09,60.01,60.02,60.13,60.02,60.14,60.02,60,60.06,60.14,60.15,60.01,60.07,60.09,60.09,60.08,60.15,60.04,60.15,60.14,60.13,60.12,60.14,60.02,60.02,60.1,60.1,60.1,60.1,Normal,,,,,,
101,60.12,60.01,60.03,60.11,60.1,60.14,60.01,60.04,60.08,60.05,60.01,60.15,60.01,60.09,60.13,60.13,60.04,60,60.05,60.01,60.14,60.07,60.09,60.04,60.09,60,60.02,60.15,60.06,60.03,Normal,,,,,,
102,60.11,60.11,60.02,60,60.02,60.01,60.03,60.14,60.15,60,60.1,60.12,60,60.13,60.14,60.14,60.08,60.12,60.08,60.04,60.13,60.05,60.09,60,60.04,60.11,60.15,60.09,60.11,60.11,Normal,,,,,,
103,60.14,60.02,60.09,60.06,60.08,60.06,60.08,60.06,60.01,60.13,60.06,60.07,60.02,60.01,60.15,60.01,60.06,60.03,60.04,60.13,60.15,60.03,60.01,60.13,60.14,60,60.04,60.02,60.09,60.05,Normal,,,,,,
104,60.03,60,60.07,60.09,60.12,60.12,60.07,60.13,60.08,60.14,60.04,60.08,60.01,60.11,60.13,60.12,60.01,60.06,60,60.12,60.12,60.05,60.04,60.03,60.02,60.11,60.14,60.03,60.04,60.14,Normal,,,,,,
105,60.01,60.04,60.03,60.04,60.08,60.05,60.1,60.05,60.04,60.02,60.05,60,60.07,60.12,60.02,60.14,60.09,60.06,60.12,60.01,60.13,60.08,60.12,60.11,60.15,60.02,60.13,60.06,60.1,60.07,Normal,,,,,,
106,60.09,60.02,60.08,60.14,60.04,60.15,60.03,60,60.09,60.09,60.1,60.03,60.02,60.09,60.12,60.05,60.08,60.01,60.12,60.09,60.05,60.09,60,60.04,60.05,60.06,60.04,60.03,60.1,60.1,Normal,,,,,,
107,60.03,60.11,60.09,60.1,60.12,60.03,60.13,60.14,60.03,60.01,60.15,60.08,60.08,60.04,60.05,60.01,60.05,60.05,60.09,60.12,60.15,60.09,60.09,60.03,60.04,60.06,60.07,60.12,60.11,60.01,Normal,,,,,,
108,60,60.14,60.06,60.07,60.14,60.02,60.06,60.05,60.06,60.02,60.06,60.05,60.03,60.14,60.05,60.13,60.15,60.02,60.03,60.09,60.05,60.1,60.11,60.07,60.11,60.05,60.09,60.14,60.12,60.14,Normal,,,,,,
109,60.07,60.08,60.03,60,60.06,60.15,60.13,60.13,60.14,60.02,60.08,60.05,60.03,60.08,60.02,60.09,60.11,60.07,60.06,60.02,60.06,60.03,60.1,60.05,60.08,60.13,60.05,60.13,60.03,60.1,Normal,,,,,,
110,60.1,60.08,60.13,60.02,60.08,60.15,60.04,60.03,60.08,60.1,60.15,60.12,60.07,60.07,60.12,60.12,60.02,60.12,60.04,60.04,60.11,60.01,60.05,60.13,60.06,60.03,60,60.04,60.1,60.14,Normal,,,,,,
111,60.1,60.12,60.08,60.14,60.14,60.04,60.07,60.15,60.05,60.01,60.11,60.07,60.08,60.07,60.14,60.03,60.11,60.02,60.08,60.1,60.11,60.05,60.11,60.1,60.13,60.1,60,60.05,60.06,60.05,Normal,,,,,,
112,60.03,60.04,60.11,60.05,60.02,60.04,60.08,60.13,60.01,60.08,60.01,60.12,60.05,60.03,60.05,60.15,60.07,60.11,60.04,60.14,60.05,60.04,60.08,60.15,60,60.09,60.09,60.01,60.12,60.03,Normal,,,,,,
113,60.12,60.03,60.02,60.03,60.15,60.12,60.15,60.03,60.11,60.03,60.08,60.03,60.08,60.06,60.12,60.12,60.04,60.1,60.06,60.01,60.11,60.14,60.04,60.02,60,60.08,60.07,60,60.12,60.11,Normal,,,,,,
114,60,60.11,60.03,60.09,60.1,60.01,60.08,60.12,60.14,60.08,60.09,60,60.01,60.03,60.02,60.14,60.11,60.12,60.13,60.12,60.02,60.08,60.03,60.12,60.05,60.11,60.01,60.14,60.12,60.1,Normal,,,,,,
115,60.12,60.13,60.1,60.07,60.05,60.09,60,60.05,60.1,60.04,60.07,60.1,60.11,60.01,60.11,60.07,60.08,60.05,60.11,60.08,60.15,60.06,60.1,60.08,60.14,60.15,60.02,60,60.09,60.09,Normal,,,,,,
116,60.05,60.01,60.03,60.03,60.12,60.13,60.05,60.09,60.15,60.01,60.13,60.07,60.13,60.11,60.08,60.06,60,60.14,60.08,60.13,60.04,60.13,60.11,60.05,60.13,60.07,60.13,60.15,60.11,60.11,Normal,,,,,,
117,60.08,60.11,60.13,60.1,60.07,60.12,60.06,60.03,60.05,60.09,60.01,60.03,60.14,60.12,60.1,60.11,60.1,60.05,60.11,60.08,60.11,60.07,60.07,60.12,60.14,60.13,60.11,60.04,60.07,60.07,Normal,,,,,,
118,60.01,60.04,60.09,60.07,60.14,60.08,60.1,60.03,60.12,60.1,60.01,60.14,60.11,60.07,60.14,60.09,60.08,60.06,60.01,60.08,60.06,60.13,60.01,60.09,60.02,60.02,60.07,60.11,60.12,60,Normal,,,,,,
119,60.03,60.1,60.01,60,60.14,60.13,60.08,60.05,60,60.07,60.01,60.13,60.05,60.07,60.15,60.05,60.06,60.06,60.11,60.11,60.1,60.02,60.08,60.13,60.14,60.04,60.04,60.09,60.15,60,Normal,,,,,,
120,60.02,60.14,60.03,60.06,60.11,60.03,60.06,60.05,60.12,60,60.1,60.15,60.08,60.07,60.12,60.13,60,60.02,60.14,60.13,60.02,60.15,60.14,60.12,60.06,60.15,60.03,60.06,60.04,60.09,Normal,,,,,,
121,60.001,60.001,60.001,60.001,60.001,60.001,60.001,60.001,60.001,60.001,60.001,60.001,60.001,60.001,60.001,60.001,60.001,60.001,60.001,60.001,60.001,60.001,60.001,60.001,60.001,60.001,60.001,60.001,60.001,60.001,Normal,,,,,,
122,60.001,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,Normal,,,,,,
123,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,Normal,,,,,,
124,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,Normal,,,,,,
125,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,Normal,,,,,,
126,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,Normal,,,,,,
